<p>Blue1</p>
"#","Control Description","Related Vulnerabilities","Cost (NOK)","Selected?"
"#","Control Description","Related Vulnerabilities","Cost (NOK)","Selected?"
"1","Enhanced Physical Security Measures","V1, V13, P3, P1","160,000"
"2","Advanced Key Management and Social Engineering Training","V2, V21, V25, V27","230,000"
"3","Comprehensive Access Control and Authentication Systems","V3, V10, V18, P2","270,000","x"
"4","Data Privacy and Protection Policies","V4, V16","120,000"
"5","Secure Configuration and Signal Integrity Checks","V5, V7, V15, V22, V24","290,000","x"
"6","Network Monitoring and Intrusion Detection Systems","V6, V12, V23, V24","180,000","x"
"7","Secure Software Development and Code Review Processes","V8, V9, V19","150,000","x"
"8","Grid Communication Authentication and Encryption","V11","80,000"
"9","Intellectual Property Management and Security Training","V14","90,000"
"10","Supply Chain Security Assessments and Vendor Audits","V15","120,000"
"11","Database Encryption and Access Control Mechanisms","V17, V16","130,000"
"12","Web Application Firewalls and UI Security Enhancements","V18, V19, V20, V26","170,000"
"13","Denial of Service (DoS) Mitigation Technologies","V20, V26","160,000"
"14","Tamper Detection for Physical Components","P1, P3","110,000"
"15","Backup Power Solutions and System Redundancies","P4, P6","100,000","x"
"16","Protective Measures for Sneeze Capture Mechanisms","P5","90,000"
"17","Random ID-verification of Maintenance-team members","V3","120,000"
"18","Network Segmentation and Restricted Access Protocols","V22, V23","120,000"
<p>Red2</p>
"#","Attack Description","Related Vulnerabilities","Cost (NOK)","Selected?"
"1","Forced Entry to Maintenance Hatch","V1, P1, P3","100,000"
"2","Theft of Maintenance Hatch Key via Social Engineering","V2, V25","100,000"
"3","Impersonation of Maintenance Team Member","V3","100,000"
"4","Unauthorized PII Processing and Leakage","V4, V16","180,000","x"
"5","Injection of Malicious Control Signals","V5, V7, V15, V24","200,000","x"
"6","Man-in-the-Middle Attack on Dataflows","V6, V12, V22","110,000","x"
"7","Unauthorized Code Changes by Insider","V8, V9, V19","130,000","x"
"8","Brute Force Attack to Gain Elevated Privileges","V10, V18","80,000"
"9","Grid Communication Spoofing","V11","120,000"
"10","Obstructing Maintenance Hatch Access","V13","80000"
"11","Theft of AI Machine Learning Models","V14","280,000"
"12","Supply Chain Compromise","V15","90,000"
"13","Database Data Tampering","V17","120,000"
"14","Denial of Service on User Interface","V20, V26","170,000","x"
"15","Spear phishing campaign targeting SWPT admins","V21","50,000","x"
"16","Wrench Attack to Retrieve Admin Credentials","P2, V10, V18","120,000","x"
"17","Siphon the electrical energy produced by the SCS","P6","150,000"
"18","Power Supply Interruption to SCS","P4, V5","90,000"
<p>Blue3</p>
"#","Control Description","Related Vulnerabilities","Cost (NOK)","Selected?"
"1","Enhanced Physical Security Measures","V1, V13, P3, P1","160,000"
"2","Advanced Key Management and Social Engineering Training","V2, V21, V25, V27","230,000"
"3","Comprehensive Access Control and Authentication Systems","V3, V10, V18, P2","270,000","x"
"4","Data Privacy and Protection Policies","V4, V16","120,000"
"5","Secure Configuration and Signal Integrity Checks","V5, V7, V15, V22, V24","290,000","x"
"6","Network Monitoring and Intrusion Detection Systems","V6, V12, V23, V24","180,000","x"
"7","Secure Software Development and Code Review Processes","V8, V9, V19","150,000","x"
"8","Grid Communication Authentication and Encryption","V11","80,000"
"9","Intellectual Property Management and Security Training","V14","90,000"
"10","Supply Chain Security Assessments and Vendor Audits","V15","120,000"
"11","Database Encryption and Access Control Mechanisms","V17, V16","130,000"
"12","Web Application Firewalls and UI Security Enhancements","V18, V19, V20, V26","170,000"
"13","Denial of Service (DoS) Mitigation Technologies","V20, V26","160,000"
"14","Tamper Detection for Physical Components","P1, P3","110,000","x"
"15","Backup Power Solutions and System Redundancies","P4, P6","100,000"
"16","Protective Measures for Sneeze Capture Mechanisms","P5","90,000"
"17","Random ID-verification of Maintenance-team members","V3","120,000"
"18","Network Segmentation and Restricted Access Protocols","V22, V23","120,000"
<p>Red3</p>
"#","Attack Description","Related Vulnerabilities","Cost (NOK)","Selected?"
"1","Forced Entry to Maintenance Hatch","V1, P1, P3","100,000"
"2","Theft of Maintenance Hatch Key via Social Engineering","V2, V25","100,000"
"3","Impersonation of Maintenance Team Member","V3","100,000"
"4","Unauthorized PII Processing and Leakage","V4, V16","180,000"
"5","Injection of Malicious Control Signals","V5, V7, V15, V24","200,000","x"
"6","Man-in-the-Middle Attack on Dataflows","V6, V12, V22","110,000"
"7","Unauthorized Code Changes by Insider","V8, V9, V19","130,000"
"8","Brute Force Attack to Gain Elevated Privileges","V10, V18","80,000","x"
"9","Grid Communication Spoofing","V11","120,000"
"10","Obstructing Maintenance Hatch Access","V13","80000","x"
"11","Theft of AI Machine Learning Models","V14","280,000","x"
"12","Supply Chain Compromise","V15","90,000","x"
"13","Database Data Tampering","V17","120,000"
"14","Denial of Service on User Interface","V20, V26","170,000"
"15","Spear phishing campaign targeting SWPT admins","V21","50,000","x"
"16","Wrench Attack to Retrieve Admin Credentials","P2, V10, V18","120,000","x"
"17","Siphon the electrical energy produced by the SCS","P6","150,000"
"18","Power Supply Interruption to SCS","P4, V5","90,000","x"
